shock_id,date,end_date,level,county,policy_name,policy_type,description,enforcement_channel,behavioral_channel,severity,source,notes
gascon_la_takes_office,2020-12-07,2024-12-03,county,Los Angeles County,George Gascón Sworn In as LA DA — Day-One Directives,da_directive,"Issued sweeping Special Directives 20-06 through 20-14 on day one: eliminated cash bail presumption, banned sentencing enhancements and three-strikes allegations, ended death penalty, reformed juvenile transfer, launched resentencing review",charging,public_safety_perception,major,"LA DA Special Directives 20-06 to 20-14 (Dec 7-8, 2020)","Nathan Hochman took office Dec 3, 2024, reversing most directives"
gascon_la_sd_20_07_bail,2020-12-07,,county,Los Angeles County,Gascón SD 20-07: Pretrial Release,da_directive,Presumption of pretrial release for all defendants; prosecutors directed never to request cash bail,bail,public_safety_perception,major,"LA DA Special Directive 20-07 (Dec 7, 2020)",
gascon_la_sd_20_08_enhancements,2020-12-08,,county,Los Angeles County,Gascón SD 20-08: Sentencing Enhancements Ban,da_directive,Directed prosecutors not to file sentencing enhancements or three-strikes allegations in most cases; superseded existing Legal Policies Manual,enhancements,public_safety_perception,major,"LA DA Special Directive 20-08 (Dec 8, 2020)",
gascon_la_amended_enhancements,2020-12-18,,county,Los Angeles County,Gascón Amended Directive on Sentencing Enhancements,da_directive,Amended SD 20-08 after legal challenges; retained core ban on enhancements with limited exceptions for certain violent offenses,enhancements,public_safety_perception,significant,"LA DA press release, Dec 18, 2020",
ab_1950_probation_reform,2021-01-01,,statewide,All,AB 1950 (Probation Term Limits),legislation,Capped felony probation at 2 years (from 3-5) and misdemeanor probation at 1 year (from 3); applied retroactively to those currently on probation,supervision,public_safety_perception,moderate,Cal. Penal Code § 1203.1; AB 1950 (2020),
ab_3234_misdemeanor_diversion,2021-01-01,,statewide,All,AB 3234 (Misdemeanor Diversion),legislation,"Authorized judges to offer misdemeanor diversion (up to 24 months) for nearly all misdemeanors, even over prosecutor objection; successful completion results in dismissal",diversion,quality_of_life_enforcement,significant,Cal. Penal Code §§ 1001.95-1001.97; AB 3234 (2020),
sb_81_enhancement_presumption,2022-01-01,,statewide,All,SB 81 (Sentencing Enhancement Presumption of Dismissal),legislation,Created presumption that courts should dismiss sentencing enhancements unless doing so would endanger public safety; mandatory dismissal if sentence would exceed 20 years,enhancements,public_safety_perception,significant,Cal. Penal Code § 1385(c); SB 81 (2021),
price_alameda_takes_office,2023-01-10,2024-12-05,county,Alameda County,Pamela Price Sworn In as Alameda DA,da_directive,"First Black woman DA in county; pursued alternatives to prison, addressed racial disparities, restricted sentencing enhancement requests, issued racial-impact sentencing directive (Apr 14)",charging,public_safety_perception,significant,"Alameda County DA inauguration, Jan 2023","Recalled Nov 5, 2024 (62.9%-37.1%); left office Dec 5, 2024"
price_alameda_racial_impact_directive,2023-04-14,,county,Alameda County,Price Racial-Impact Sentencing Directive,da_directive,Special directive instructing prosecutors to refrain from seeking elevated sentences where doing so would produce disproportionate racial impact,enhancements,public_safety_perception,significant,"Alameda DA special directive, Apr 14, 2023",
la_zero_bail_reinstatement,2023-05-24,,county,Los Angeles County,LA County Zero-Bail Reinstated (Court Order),judicial_order,Judge Riff ruled enforcing bail against indigent defendants unconstitutional; reinstated zero-bail for misdemeanors and non-violent felonies via preliminary injunction,bail,public_safety_perception,significant,"LA Superior Court ruling, Judge Lawrence Riff, May 16/24, 2023",
