shock_id,date,county,policy_name,policy_type,primary_topic,ideology_score,direction,enforcement_channel,behavioral_channel,severity,mandates_vs_guidance,extensive_margin_direction,intensive_margin_direction,summary,filename,nearest_external_shock_id,nearest_external_shock_name,nearest_external_shock_date,days_from_external_shock,external_shock_match_type
2019_san_diego_county_sd_county_da_jdi_slides,2019-01-01,San Diego County,SD County DA-JDI Slides,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,significant,mandatory,more_lenient,not_applicable,"This document outlines San Diego County DA Summer Stephan's Juvenile Diversion Initiative, a comprehensive pre-file diversion program that diverts youth from formal prosecution for most misdemeanors and lower-level felonies. The program emphasizes restorative justice principles, community-based services, and addressing root causes of delinquent behavior rather than punishment. Successfully completing youth have their cases closed without filing and arrest records sealed, representing a significant shift toward keeping youth out of the formal juvenile justice system entirely.",2019_San Diego County_SD County DA-JDI Slides.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,0.0,statewide_legislation
2019_monterey_county_cdaa_winter_workshop_bias_materials,2019-01-01,Monterey County,CDAA-Winter Workshop-Bias Materials,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,moderate,strong_guidance,more_lenient,more_lenient,"This comprehensive training material focuses on eliminating racial bias in prosecutorial decision-making through implicit bias education and conscious reform of traditional practices. The materials advocate for data-driven approaches to identify disparities, alternatives to traditional prosecution and punishment, and a fundamental reframing of prosecutorial success from conviction rates to fairness and community safety. The training represents a clearly progressive approach that systematically challenges traditional tough-on-crime prosecutorial ideology while providing concrete tools for prosecutors to reduce bias in charging, plea bargaining, and sentencing decisions.",2019_Monterey County_CDAA-Winter Workshop-Bias Materials.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,0.0,statewide_legislation
2020_contra_costa_county_description_of_the_racial_justice_act,2020-01-01,Contra Costa County,Description of the Racial Justice Act,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document describes California's Racial Justice Act of 2020, which prohibits seeking convictions or imposing sentences based on race, ethnicity, or national origin. The Act allows defendants to challenge prosecutorial decisions using statistical evidence of racial disparities and provides remedies including charge reduction, sentence vacation, and new trials. While the memo appears written from a traditional prosecutorial perspective highlighting concerns about costs and constitutional issues, the underlying legislation represents a significant progressive reform addressing systemic racial bias in criminal justice.",2020_Contra Costa County_Description of the Racial Justice Act.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,365.0,statewide_legislation
2020_yolo_county_virtual_czi_training,2020-01-01,Yolo County,Virtual CZI Training,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,moderate,strong_guidance,more_lenient,more_lenient,"This document outlines a comprehensive 6-week progressive prosecutor training program focused on decarceration, racial justice, and community-based enforcement. The training emphasizes prosecutor-led sentence review for past cases, addressing systemic racial disparities, and developing partnerships with community organizations to protect vulnerable populations from corporate abuse. The curriculum reflects a clear shift toward progressive prosecutorial practices, prioritizing equity and alternatives to traditional punitive approaches.",2020_Yolo County_ Virtual CZI Training.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,365.0,statewide_legislation
2020_merced_county_cdaa_rja_presentation,2020-01-01,Merced County,CDAA RJA Presentation,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document is a comprehensive training presentation on California's Racial Justice Act (AB 2542), which prohibits seeking convictions or sentences based on race, ethnicity, or national origin. The training covers prohibited language, statistical analysis requirements for charging and sentencing disparities, discovery procedures, and remedies for violations. It represents a significant progressive reform requiring prosecutors to examine and justify their practices through a racial justice lens, with mandatory remedies including case dismissals, sentence reductions, and retrials when violations are found.",2020_Merced County_CDAA RJA Presentation.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,365.0,statewide_legislation
2020_yuba_county_ab2542_assembly_floor_analysis,2020-01-01,Yuba County,AB2542 Assembly Floor Analysis,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document outlines AB 2542, legislation that prohibits prosecutors from seeking convictions or sentences based on race, ethnicity, or national origin. The bill creates comprehensive mechanisms for defendants to challenge racially biased prosecutorial decisions through statistical evidence and provides courts with broad remedial powers including dismissing charges, reducing sentences, or ordering new proceedings. This represents a significant progressive reform focused on eliminating racial bias from California's criminal justice system, with substantial impacts on both charging decisions and sentencing outcomes.",2020_Yuba County_AB2542 Assembly Floor Analysis.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,365.0,statewide_legislation
2020_yuba_county_ab2542_bill_text,2020-01-01,Yuba County,AB2542 Bill Text,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document describes AB 2542, California legislation that prohibits seeking criminal convictions or sentences based on race, ethnicity, or national origin. The bill creates mechanisms for defendants to challenge convictions and sentences based on racial discrimination, including the right to file motions for disclosure of evidence and to vacate convictions. This represents a significant progressive criminal justice reform focused on eliminating racial bias from the system and providing remedies for past discrimination. The legislation applies prospectively to cases where judgment has not been entered prior to January 1, 2021.",2020_Yuba County_AB2542 Bill Text.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,365.0,statewide_legislation
2020_01_22_san_francisco_county_pretrial_detention_and_release_conditions,2020-01-22,San Francisco County,Pretrial Detention and Release Conditions,internal_directive,bail,2.0,progressive,bail,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This policy directive from San Francisco DA Chesa Boudin completely eliminates the office's use of money bail and establishes a strong presumption toward pretrial release with minimal conditions. The policy creates a tiered system of release conditions from least to most restrictive, with own recognizance release as the default position. While maintaining detention options for serious violent felonies, the policy represents a fundamental shift toward keeping defendants in the community pretrial and explicitly rejects traditional cash bail as discriminatory. The directive includes provisions for data collection to evaluate policy effectiveness and consideration of defendants' employment and family needs.",2020.01.22_San Francisco County_Pretrial Detention and Release Conditions.pdf,zero_bail_statewide,CA Judicial Council Statewide Zero-Bail Emergency Order,2020-04-13,-82.0,statewide_legislation
2020_03_09_san_francisco_county_primary_caregiver_diversion,2020-03-09,San Francisco County,Primary Caregiver Diversion,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,moderate,strong_guidance,more_lenient,more_lenient,"This policy directive establishes comprehensive procedures for implementing Primary Caregiver Diversion in San Francisco County, with the DA explicitly supporting and encouraging diversion for primary caregivers charged with non-serious and non-violent offenses. The policy prioritizes avoiding family trauma and child welfare impacts while maintaining accountability through service plans and restitution requirements. The document reflects a clearly progressive prosecutorial approach that emphasizes alternatives to incarceration, rehabilitation, and systematic data collection for policy evaluation.",2020.03.09_San Francisco County_Primary Caregiver Diversion.pdf,boudin_sf_takes_office,Chesa Boudin Sworn In as SF DA,2020-01-08,61.0,county_da_directive
2020_05_12_san_luis_obispo_county_serial_thefts_during_covid_pc_sec_462_memo,2020-05-12,San Luis Obispo County,Serial Thefts During COVID (PC Sec. 462) Memo,internal_directive,bail,-2.0,traditional,bail,public_safety_perception,moderate,strong_guidance,more_punitive,more_punitive,"This memo instructs law enforcement partners on how to circumvent COVID-19 emergency bail reforms by charging repeat thieves with felony looting under Penal Code 463, which exempts defendants from $0 bail provisions. The document reflects a traditional prosecutorial approach that prioritizes custody and enhanced penalties over the public health considerations underlying the emergency bail schedule. The memo demonstrates active resistance to bail reform measures and emphasizes maximizing sanctions for property crimes during the pandemic.",2020.05.12_San Luis Obispo County_Serial Thefts During COVID (PC Sec. 462) Memo.pdf,zero_bail_statewide,CA Judicial Council Statewide Zero-Bail Emergency Order,2020-04-13,29.0,statewide_legislation
2020_06_08_la_county_general_office_memorandum_20_079,2020-06-08,Los Angeles County,General Office Memorandum 20-079,internal_directive,charging_decisions,2.0,progressive,charging,quality_of_life_enforcement,significant,mandatory,more_lenient,not_applicable,"This memo establishes a blanket declination policy for curfew and failure to disperse violations arising from recent protests, affecting over a thousand arrests. DA Jackie Lacey justifies this decision based on 'interest of justice' reasoning and concern that prosecution would punish the exercise of First Amendment rights. The policy represents a clear progressive prosecutorial approach that prioritizes constitutional protections over strict enforcement of protest-related misdemeanor charges. This is a significant extensive margin decision that prevents large numbers of protesters from entering the criminal justice system entirely.",2020.06.08_LA County_General Office Memorandum 20-079.pdf,gascon_la_takes_office,George Gascón Sworn In as LA DA — Day-One Directives,2020-12-07,-182.0,county_da_directive
2020_08_23_san_diego_county_bhc_diversion_and_bhc_probation_program_summary,2020-08-23,San Diego County,BHC Diversion and BHC Probation-Program Summary,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,significant,mandatory,more_lenient,more_lenient,"This document establishes comprehensive Behavioral Health Court programs offering both pre-plea diversion and specialized probation for defendants with serious mental illness charged with felonies. The programs provide extensive treatment services, housing, case management, and supervision as alternatives to traditional prosecution and incarceration. The policy reflects a progressive therapeutic approach that prioritizes treatment over punishment, with successful completion potentially resulting in charge dismissal or reduction, though it maintains exclusions for serious violent and sexual offenses.",2020.08.23_San Diego County_BHC Diversion and BHC Probation-Program Summary.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-131.0,statewide_legislation
2020_08_25_placer_county_ab_2542_concurrence_in_senate_amendments,2020-08-25,Placer County,AB 2542 Concurrence in Senate Amendments,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document presents AB 2542, legislation that prohibits prosecutors from seeking convictions or sentences based on race, ethnicity, or national origin. The bill establishes mechanisms for defendants to challenge prosecutorial decisions and court proceedings where racial bias may have occurred, with remedies including case dismissal, sentence reduction, or new proceedings. This represents a significant progressive criminal justice reform focused on eliminating systemic racism from California's prosecutorial and judicial processes. The legislation mandates fundamental changes to how prosecutors approach charging and sentencing decisions, requiring consideration of potential racial bias at all stages.",2020.08.25_Placer County_AB 2542 Concurrence in Senate Amendments.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-129.0,statewide_legislation
2020_08_25_ab_2542_concurrence_in_senate_amendments,2020-08-25,Monterey County,AB 2542-Concurrence in Senate Amendments,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document announces AB 2542, legislation that prohibits seeking convictions or sentences based on race, ethnicity, or national origin. The bill establishes statistical standards for identifying racial disparities in prosecution and sentencing, and provides remedies including sentence reductions and conviction dismissals. This represents a significant progressive reform focused on eliminating racial bias from California's criminal justice system, with impacts on both charging decisions and sentencing practices.",2020.08.25_AB 2542-Concurrence in Senate Amendments.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-129.0,statewide_legislation
2020_08_25_santa_barbara_county_ab_2542_concurrence_in_senate_amendments,2020-08-25,Santa Barbara County,AB 2542-Concurrence in Senate Amendments,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document outlines AB 2542, legislation that prohibits seeking criminal convictions or sentences based on race, ethnicity, or national origin. The bill creates mechanisms for defendants to challenge racially biased prosecutions and provides courts with remedial powers including sentence reductions, conviction vacations, and new proceedings. This represents a significant progressive criminal justice reform focused on eliminating systemic racial discrimination from California's prosecutorial system, with impacts on both charging decisions and post-conviction relief.",2020.08.25_Santa Barbara County_AB 2542-Concurrence in Senate Amendments.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-129.0,statewide_legislation
2020_09_08_los_angeles_county_parole_periods_and_prison_closures_with_cdcr_demog,2020-09-08,Los Angeles County,Parole Periods and Prison Closures (with CDCR Demographics Data),internal_directive,sentencing,2.0,progressive,sentencing,public_safety_perception,significant,mandatory,neutral,more_lenient,"This document contains two memos: an informational memo about state law changes to parole periods, and a comprehensive policy directive from DA George Gascón mandating dramatic reforms to resentencing practices. The Gascón memo establishes a clearly progressive agenda, calling for resentencing review of 20,000-30,000 cases, elimination of sentence enhancements, support for early parole, and explicit focus on addressing racial disparities in the criminal justice system. The directive represents a fundamental shift from traditional prosecutorial approaches, framing mass incarceration as a racist system requiring comprehensive reform.",2020.09.08_Los Angeles County_Parole Periods and Prison Closures (with CDCR Demographics Data).pdf,gascon_la_sd_20_08_enhancements,Gascón SD 20-08: Sentencing Enhancements Ban,2020-12-08,-91.0,county_da_directive
2020_09_21_san_francisco_county_policy_on_charging_decisions_and_police_accounta,2020-09-21,San Francisco County,Policy on Charging Decisions and Police-Accountability,internal_directive,charging_decisions,2.0,progressive,charging,quality_of_life_enforcement,significant,mandatory,more_lenient,not_applicable,"This policy directive establishes a mandatory prohibition on filing criminal charges in cases that rely on officers with proven records of serious misconduct including excessive force, racial bias, or dishonesty. The policy explicitly frames police accountability as necessary to protect people of color from abuse and build community trust. It creates systematic procedures for reviewing officer misconduct records and requires data collection on cases declined under this policy, representing a significant shift toward prioritizing police accountability over prosecution rates.",2020.09.21_San Francisco County_Policy on Charging Decisions and Police-Accountability.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-102.0,statewide_legislation
2020_09_30_placer_county_ab_3070,2020-09-30,Placer County,AB 3070,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"Assembly Bill 3070 is a comprehensive jury selection reform law that significantly restricts the use of peremptory challenges to exclude jurors based on protected characteristics. The law establishes presumptions against challenges based on distrust of law enforcement, beliefs about discriminatory policing, and various socioeconomic factors that disproportionately affect communities of color. By recognizing both conscious and unconscious bias and creating strong procedural protections, this legislation represents a major progressive reform aimed at ensuring more representative juries in criminal cases. The law will substantially impact trial outcomes by limiting prosecutors' traditional advantages in jury selection.",2020.09.30_Placer County_AB 3070.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-93.0,statewide_legislation
2020_09_30_san_luis_obispo_county_ab_3070_juries_peremptory_challenges,2020-09-30,San Luis Obispo County,AB 3070 Juries-Peremptory Challenges,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,neutral,more_lenient,"AB 3070 is California legislation that significantly restricts the use of peremptory challenges in jury selection to eliminate racial and other forms of discrimination. The law creates presumptive invalidity for challenges based on protected characteristics, recognizes unconscious bias, and specifically protects jurors who distrust law enforcement or believe in discriminatory policing. This represents a major progressive reform aimed at ensuring more diverse and representative juries in criminal cases.",2020.09.30_San Luis Obispo County_AB 3070 Juries-Peremptory Challenges.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-93.0,statewide_legislation
2020_09_30_san_luis_obispo_county_ab_2542_bill_text,2020-09-30,San Luis Obispo County,AB 2542 Bill Text,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document explains AB 2542, California legislation that prohibits seeking criminal convictions or sentences based on race, ethnicity, or national origin. The bill creates new habeas corpus grounds for defendants to challenge racially discriminatory prosecutions and allows courts to impose remedies for such violations. This represents a significant progressive criminal justice reform aimed at eliminating systemic racial bias from California's criminal justice system. The legislation acknowledges that racial discrimination has been pervasive in criminal justice and establishes legal mechanisms to actively combat it going forward.",2020.09.30_San Luis Obispo County_AB 2542 Bill Text.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-93.0,statewide_legislation
2020_10_02_monterey_county_ab_2542_criminal_procedure_discrimination,2020-10-02,Monterey County,AB 2542-Criminal Procedure-Discrimination,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,moderate,strong_guidance,more_lenient,more_lenient,"This document is a policy memo from the Monterey County District Attorney's office expressing strong support for AB 2542, legislation aimed at addressing racial discrimination in California's criminal justice system. The memo acknowledges that racial bias pervades the justice system and supports new mechanisms that would allow defendants to challenge racially discriminatory practices through habeas corpus petitions and motions to vacate convictions. The document reflects a clearly progressive prosecutorial approach, emphasizing the need to eliminate racial disparities and create a fairer justice system both prospectively and retroactively.",2020.10.02_Monterey County_AB 2542-Criminal Procedure-Discrimination.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-91.0,statewide_legislation
2020_10_02_madera_county_ab_2542_legislative_counsel_s_digest,2020-10-02,Madera County,AB 2542-Legislative Counsel's Digest,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document presents California's Racial Justice Act of 2020, which prohibits seeking convictions or sentences based on race, ethnicity, or national origin. The Act allows defendants to challenge prosecutorial decisions using statistical evidence and provides remedies including charge reductions, sentence vacations, and enhanced discovery rights. It represents a comprehensive progressive reform aimed at addressing both individual bias and systemic racial disparities in the criminal justice system, with mandatory compliance requirements for all prosecutors.",2020.10.02_Madera County_AB 2542-Legislative Counsel's Digest.pdf,ab_3234_misdemeanor_diversion,AB 3234 (Misdemeanor Diversion),2021-01-01,-91.0,statewide_legislation
2020_11_06_la_county_juvenile_legislation,2020-11-06,Los Angeles County,Juvenile Legislation,internal_directive,juvenile,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This memorandum informs DA personnel about new juvenile justice legislation effective January 1, 2021, that implements comprehensive progressive reforms. The changes systematically reduce entry points into the juvenile court system by making services voluntary, eliminating mandatory prosecution triggers, requiring community referrals, and expanding diversion programs. The legislation also enhances protections for youth already in the system through expanded Miranda rights, automatic record sealing, and policies keeping youth in juvenile rather than adult facilities, reflecting a clear rehabilitative rather than punitive approach to juvenile justice.",2020.11.06_LA County_Juvenile Legislation.pdf,gascon_la_takes_office,George Gascón Sworn In as LA DA — Day-One Directives,2020-12-07,-31.0,county_da_directive
2020_11_06_la_county_new_juvenile_laws_memo,2020-11-06,Los Angeles County,New Juvenile Laws Memo,internal_directive,juvenile,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This memorandum informs DA personnel about five new California laws that significantly reform juvenile justice practices, effective January 1, 2021. The laws collectively reduce pathways into the juvenile justice system by eliminating truancy jurisdiction, making services voluntary, expanding diversion with automatic record sealing, and enhancing Miranda protections for minors. The legislation also restructures the juvenile justice system by closing state facilities and transferring responsibility to counties, reflecting a clear shift toward progressive, community-based approaches to juvenile justice.",2020.11.06_LA County_New Juvenile Laws Memo.pdf,gascon_la_takes_office,George Gascón Sworn In as LA DA — Day-One Directives,2020-12-07,-31.0,county_da_directive
2020_11_12_la_county_lpm_chapter_28_mental_health_division,2020-11-12,Los Angeles County,LPM Chapter 28 Mental Health Division,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,significant,mandatory,more_lenient,more_lenient,"This comprehensive policy manual establishes extensive mental health diversion and alternative sentencing programs for Los Angeles County, representing a significant shift toward therapeutic justice. The document mandates that prosecutors examine all cases where mental illness contributed to criminal behavior for diversion opportunities and creates multiple pathways to redirect defendants from traditional prosecution into community-based treatment programs. The policy reflects a progressive prosecutorial philosophy that prioritizes addressing underlying causes of criminal behavior through treatment and rehabilitation rather than punishment, while maintaining public safety exclusions for serious violent crimes.",2020.11.12_LA County_LPM Chapter 28 Mental Health Division.pdf,gascon_la_takes_office,George Gascón Sworn In as LA DA — Day-One Directives,2020-12-07,-25.0,county_da_directive
2020_12_07_la_county_special_directive_habeas_corpus_litigation_unit,2020-12-07,Los Angeles County,Special Directive-Habeas Corpus Litigation Unit,internal_directive,case_law_update,2.0,progressive,sentencing,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This directive establishes comprehensive progressive policies for the LA County DA's Habeas Corpus Litigation Unit under George Gascón's administration. The policy fundamentally shifts the unit's mission from defending convictions to seeking truth and justice, with explicit emphasis on addressing racial discrimination and bringing old convictions in line with current progressive standards. It mandates extensive investigation, liberal discovery sharing, sentence reductions, and support for compensation of the wrongfully convicted, representing a clear departure from traditional prosecutorial approaches to post-conviction review.",2020.12.07_LA County_Special Directive-Habeas Corpus Litigation Unit.pdf,gascon_la_sd_20_08_enhancements,Gascón SD 20-08: Sentencing Enhancements Ban,2020-12-08,-1.0,county_da_directive
